OBJECTID,NLFID,LogPoint,Latitude,Longitude,TrafficA
19536,CDELCR00021**C,3.21,40.17554,-82.954136,752
19537,TLICTR00145**C,0.16,39.945252,-82.585306,472
19538,SFRARA25445**C,0.07,40.010789,-82.897397,2596
19539,CMOTCR00078**C,2.01,39.67102,-84.20384,176
19540,SSENSR00018**C,14.83,41.116218,-83.169685,151
19541,CFRACR00019**C,2.08,40.125387,-82.972589,
19542,TMEDTR00272**C,0.71,41.142499,-81.789505,536
19543,SHAMIR00275**C,21.5,39.299861,-84.519087,1175
19544,MMIAMR00741**C,0.16,40.046008,-84.225402,605
19545,SWOOSR00199**C,28.9,41.53527,-83.61328,167
19546,SFAIIR00070**C,1.92,39.937649,-82.776198,
19547,MLAKMR00389**C,0.39,41.645993,-81.35561,704
19548,CMARCR00162**C,4.84,40.614683,-83.111228,55
19549,SMOTSR00202**C,8.21,39.881434,-84.13672,142
19550,TLICTR00549**C,0,39.951451,-82.749911,
19551,SHAMRA31501**C,0.06,39.291703,-84.611452,271
19552,MMOTMR03138**C,0.08,39.889172,-84.188216,826
19553,CWOOCR00009**C,7.55,41.587157,-83.567718,125
19554,TDELTR00468**C,0.77,40.171408,-82.946422,774
19555,SFRAIR00070**C,4.39,39.977378,-83.166407,458
19556,CMARCR00162**C,4.84,40.614683,-83.111228,55
19557,MSTAMR01587**C,0.29,40.885256,81.412891,
19558,TCLETR00701**C,0.45,39.074045,-84.293176,733
19559,SFRAIR00071**C,29.09,40.123158,-82.971715,2830
19560,MFRAMR02266**C,0.12,39.932116,-82.9119,1032
19561,CGALCR00005**C,0.18,38.819781,-82.189895,
19562,TMIATR01138**C,0,40.013135,-84.227456,644
19563,SMEDIR00071**C,17.190001,41.141245,-81.794483,720
19564,TLICTR02047**C,0.26,39.95575,-82.680981,102
19565,SFRASR00315**N,7.11,40.04218,-83.033265,1194
19566,TBUTTR02019**C,0.45,39.342914,-84.389493,1045
19567,SFRAIR00070**C,4.39,39.977378,-83.166407,410
19568,CMOTCR00078**C,2.05,39.670906,-84.203035,222
19569,SLUCSR00025**C,8.86,41.646959,-83.542133,160
19570,TFAITR01417**C,0.32,39.934632,-82.778141,
19571,SFRASR00161**C,18.139999,40.081461,-82.86233,744
19572,MLUCMR01190**C,0.42,41.662579,-83.497928,
19573,CCUYCR00727**C,3.25,41.576477,-81.554016,1263
19574,TFAITR01416**C,0.33,39.934472,-82.780372,
19575,SHENUS00006**C,11.72,41.400169,-84.142457,102
19576,TCLETR02253**C,0.17,39.188408,-84.266595,
19577,SFRAIR00071**C,29.09,40.123271,-82.973142,1860
19578,MMIAMR00645**C,0,40.036212,-84.229932,565
19579,CHAMCR00266**C,0.29,39.292409,-84.612922,271
19580,SLICSR00079**C,7.08,39.981775,-82.486544,
19581,CCLECR00095**C,3.99,39.06534,-84.298071,598
19582,TMIATR01138**C,0,40.013135,-84.227456,732
19583,SHANUS00068**C,13.75,41.004026,-83.659998,261
19584,MRICMR01249**C,0.5,40.812521,-82.537911,
19585,TCLATR01581**C,0.17,39.894005,-83.912656,455
19586,SFRAIR00071**C,24.200001,40.057004,-82.997634,727
19587,MLUCMR01315**C,0.29,41.647802,-83.501187,586
19588,MMUSMR00488**C,0.07,39.97664,-82.013701,740
19589,CRICCR00320**C,0.73,40.684101,-82.509864,30
19590,SWARIR00075**C,9.28,39.554053,-84.278096,1085
19591,SCUYIR00480**C,13.8,41.42223,-81.719742,1659
19592,MMEDMR00085**C,0.24,41.259443,-81.802555,770
19593,CMARCR00162**C,4.84,40.614683,-83.111228,
19594,SMEDIR00071**C,24.389999,41.243526,-81.800843,561
19595,CFAICR00022**C,0.02,39.891301,-82.748772,107
19596,TMADTR01108**C,0.19,39.964052,-83.30078,562
19597,SFRARA25261**C,0.44,40.081001,-82.886242,994
19598,MMIAMR00701**C,0.1,40.057621,-84.229709,413
19599,SSENSR00018**C,14.83,41.116218,-83.169685,151
19600,SCUYRA18487**C,0.02,41.563749,-81.587908,1324
19601,MALLMR00693**C,0.9,40.727223,-84.103498,58
19602,MFRAMR01560**C,0.2,40.035481,-83.026047,
19603,CMARCR00162**C,3.55,40.614972,-83.135805,20
19604,TWARTR01244**C,0.05,39.514558,-84.319832,899
19605,SMIAIR00075**C,8.61,40.036175,-84.230919,577
19606,CLICCR00026**C,6.57,40.081287,-82.733978,301
19607,TMIATR01150**C,0.32,40.016155,-84.234216,701
19608,SMUSRA60013**C,0.03,39.949861,-82.012024,294
19609,CCLECR00334**C,0.27,39.081593,-84.198928,35
19610,TLUCTR03003**C,0.06,41.524775,-83.746051,
19611,SFRASR00161**C,18.139999,40.081461,-82.86233,1607
19612,SBELSR00148**C,22.27,39.880401,-80.86085,16
19613,SUNIUS00033**N,22.559999,40.139111,-83.200171,630
19614,SFRAIR00071**C,29.17,40.124561,-82.971546,2830
19615,CLORCR00622**C,1.5,41.384035,-81.989657,
19616,MLAKMR00536**C,0.14,41.721834,-81.297194,300
19617,SMEDIR00071**C,17.59,41.146229,-81.789358,536
19618,TFRATR02068**C,0.01,39.978285,-83.161358,500
19619,SFRAIR00071**N,23.59,40.048169,-82.997645,830
19620,MFRAMR00304**C,0,39.983267,-83.020757,1624
19621,SWAYSR00585**C,3.13,40.843135,-81.892344,63
19622,THAMTR00476A*C,0.21,39.05659,-84.329799,635
19623,SFRAIR00270**C,22.209999,40.112566,-83.046608,1518
19624,SATBUS00020**C,14.36,41.879652,-80.751989,331
19625,TBUTTR02019**C,0.45,39.342914,-84.389493,
19626,SFRAIR00071**C,28.77,40.118922,-82.974682,1894
19627,CRICCR00092**C,2.71,40.786607,-82.406961,9
19628,SLUCSR00025**C,8.86,41.646959,-83.542133,160
19629,CFRACR00256**C,0.39,39.899519,-83.060527,766
19630,TLICTR00888**C,0.35,39.949142,-82.753062,625
19631,SHAMIR00275**C,35.860001,39.057652,-84.328275,654
19632,TCLETR00701**C,0.45,39.074045,-84.293176,769
19633,SFRAIR00071**C,24.200001,40.057004,-82.997634,805
19634,MFRAMR01560**C,0.2,40.035481,-83.026047,
19635,CLICCR00026**C,6.57,40.081287,-82.733978,301
19636,SRICUS00030**N,17.49,40.78445,-82.408383,164
19637,SDARSR00047**C,18.17,40.225461,-84.494706,16
19638,MCLAMR00785**C,0.18,39.893307,-83.815499,523
19639,CMOTCR00166**C,7.3,39.596408,-84.205161,109
19640,SLICSR00079**C,7.08,39.981775,-82.486544,213
19641,THAMTR00192K*C,0.33,39.197758,-84.374728,1381
19642,SFRARA25261**C,0.44,40.081001,-82.886242,994
19643,MMOTMR03138**C,0.1,39.889569,-84.188186,731
19644,TCLETR02252**C,0.44,39.187701,-84.265554,655
19645,SFRAIR00071**C,29.1,40.123478,-82.97304,2830
19646,MHAMMR00823**C,0,39.127467,-84.535066,1651
19647,CMARCR00162**C,4.35,40.61467,-83.120678,51
19648,SHENSR00109**C,19.57,41.425403,-84.0085,95
19649,CFAICR00020**C,8.93,39.890922,-82.748907,133
19650,TLICTR00145**C,0.16,39.945252,-82.585306,563
19651,SFRARA25445**C,0.07,40.010789,-82.897397,1778
19652,SAUGUS00033**C,16.23,40.556016,-84.162082,43
19653,TCLETR02253**C,0.17,39.188408,-84.266595,
19654,SFRAIR00071**C,29.09,40.123271,-82.973142,2577
19655,CFRACR00025**C,8.53,39.98286,83.104522,129
19656,TLICTR00840**C,0.12,39.979584,-82.478637,
19657,SHAMUS00027**C,14.61,39.263017,-84.604682,358
19658,MMIAMR00980**C,0.01,40.045847,-84.230914,605
19659,SWAYSR00585**C,3.13,40.843135,-81.892344,69
19660,SFAIRA23007**C,0.04,39.931941,-82.79155,1103
19661,MFRAMR00442**C,0.09,39.951371,-82.945752,2238
19662,CMARCR00162**C,3.94,40.614512,-83.128346,43
19663,SMOTSR00202**C,8.21,39.881434,-84.13672,134
19664,CCLECR00171**C,6.45,39.085807,-84.203251,708
19665,TMADTR01108**C,0.19,39.964052,-83.30078,562
19666,SFRASR00161**C,18.139999,40.081461,-82.86233,1734
19667,MMIAMR00980**C,0.01,40.045847,-84.230914,603
19668,CWARCR00004**C,4.2,39.292364,-84.313508,525
19669,TDELTR00536**C,0,40.170605,-82.950885,783
19670,SFRAIR00071**C,24.200001,40.057004,-82.997634,1946
19671,CFRACR00262**C,6.66,39.901148,-83.070624,619
19672,MMEDMR00085**C,0.24,41.259443,-81.802555,1429
19673,CFRACR00256**C,0.39,39.899519,-83.060527,643
19674,TMIATR01150**C,0.13,40.016163,-84.237756,747
19675,MLUCMR01091**C,0.03,41.686431,-83.555005,34
19676,TMIATR01270**C,0,40.0006,-84.214249,672
19677,SMEDIR00071**C,16.559999,41.132213,-81.796385,536
19678,TLUCTR00223**C,0.14,41.459468,-83.789231,128
19679,SFRAIR00071**N,23.59,40.048169,-82.997645,839
19680,MFRAMR00304**C,0,39.983267,-83.020757,1346
19681,SSENSR00018**C,14.83,41.116218,-83.169685,79
19682,SDARUS00036**C,7.97,40.055742,-84.660665,23
19683,CPIKCR00050**C,0.68,39.139833,-82.863556,2
19684,SMAHIR00076**C,1.48,41.100872,-80.974289,258
19685,TFRATR01594**C,0.43,39.958279,-83.119785,977
19686,SFRASR00315**N,7.44,40.047154,-83.034214,711
19687,MMIAMR00701**C,0.01,40.057581,-84.231539,463
19688,SWARIR00075**C,5.03,39.505848,-84.32383,941
19689,SFAIIR00070**C,1.92,39.937649,-82.776198,744
19690,SLAKSR00044**C,7.22,41.720484,-81.297098,394
19691,TDELTR00109**C,0.55,40.180743,-82.948456,653
19692,SFRAIR00270**C,34.009998,40.032393,-82.903654,15318
19693,MHAMMR01810**C,0.95,39.158165,-84.523999,1317
19694,CMOTCR00166**C,7.3,39.596408,-84.205161,109
19695,SLORSR00301**C,22.16,41.423729,-82.076856,337
19696,CFRACR00061**C,1.84,40.117685,-83.075974,154
19697,TFAITR01632**C,0.33,39.937594,-82.76944,615
19698,SHANUS00068**C,14.33,41.012332,-83.659959,263
19699,MMIAMR00741**C,0.16,40.046008,-84.225402,543
19700,SWARIR00075**C,9.28,39.554053,-84.278096,946
19701,SFRAIR00070**C,20.700001,39.936308,-82.890643,1224
19702,MLUCMR01461**C,0.04,41.671365,-83.572132,952
19703,CFRACR00256A*C,1.61,39.896632,-83.048108,643
19704,TMOTTR00538**C,1.17,39.832496,-84.292648,131
19705,SMEDIR00071**C,17.59,41.146229,-81.789358,618
19706,MMIAMR00645**C,0,40.036212,-84.229932,577
19707,CHAMCR00390**C,0.02,39.058144,-84.363751,711
19708,SMEDIR00071**C,17.190001,41.141245,-81.794483,671
19709,CFAICR00169**C,0.24,39.935619,-82.786305,706
19710,TLUCTR00703**C,0.76,41.678122,-83.69337,932
19711,SHAMIR00275**C,21.6,39.29974,-84.517062,1061
19712,MMOTMR00366M*C,0.02,39.738761,-84.205404,1524
19713,SWOOSR00199**C,28.9,41.53527,-83.61328,167
19714,SFAIIR00070**C,1.92,39.937649,-82.776198,
19715,MFRAMR00304**C,0,39.983267,-83.020757,1426
19716,CMARCR00162**C,4.84,40.614683,-83.111228,55
19717,SLORSR00301**C,22.16,41.423729,-82.076856,379
19718,CCLECR00095**C,3.99,39.06534,-84.298071,615
19719,TLUCTR00137**C,1.75,41.491846,-83.766791,137
19720,SHAMRA31024**C,0.11,39.296475,-84.463132,
19721,TDELTR01217**C,0.01,40.174444,-82.940688,760
19722,SFRASR00161**C,18.139999,40.081461,-82.86233,1814
19723,SAUGUS00033**C,16.629999,40.555466,-84.161889,33
19724,TBUTTR02019**C,0.45,39.342914,-84.389493,
19725,SFAIIR00070**C,1.92,39.937649,-82.776198,822
19726,MMIAMR00701**C,0.01,40.057581,-84.231539,497
19727,TMIATR01150**C,0.13,40.016163,-84.237756,
19728,SHIGSR00073**C,7.22,39.228332,-83.630724,105
19729,MALLMR00693**C,0.9,40.727223,-84.103498,68
19730,TLICTR00840**C,0.12,39.979584,-82.478637,
19731,SFRARA25073**C,0,39.869274,-82.933328,
19732,MFRAMR01560**C,0.2,40.035481,-83.026047,
19733,SWARIR00075**C,9.28,39.554053,-84.278096,1131
19734,SFAIIR00070**C,1.92,39.937649,-82.776198,
19735,CHAMCR00176**C,16.559999,39.309584,-84.630728,13
19736,SLUCIR00475**N,7.03,41.646419,83.695318,
19737,SATHRA05026**C,0.08,39.304879,-82.10368,247
19738,CRICCR00320**C,8.38,40.630139,-82.405223,8
19739,TDELTR00109**C,0.55,40.180743,-82.948456,
19740,SFRAIR00070**C,20.700001,39.936308,-82.890643,1267
19741,CLORCR00033**C,1.4,41.418435,-82.197566,332
19742,MFRAMR00304**C,0,39.983267,-83.020757,1624
19743,TLICTR00889**C,0,39.950338,-82.706301,621
19744,SFRAIR00270**C,22.209999,40.112566,-83.046608,1552
19745,CRICCR00320**C,6.31,40.630838,-82.44005,21
19746,TCLETR02252**C,0.44,39.187701,-84.265554,676
19747,SFRAIR00071**C,29.09,40.123271,-82.973142,2809
19748,MLAKMR00389**C,0.39,41.645993,-81.35561,704
19749,CMOTCR00099**C,23.34,39.883691,-84.199624,208
19750,SLICSR00079**C,7.08,39.981775,-82.486544,
19751,CFRACR00025**C,8.53,39.982843,-83.10456,129
19752,TFRATR02068**C,0.01,39.978285,-83.161358,421
19753,SHANUS00068**C,14.06,41.008533,-83.659957,252
19754,SATBUS00020**C,14.36,41.879652,-80.751989,345
19755,TLUCTR02209**C,0.1,41.543298,-83.696545,394
19756,SFRASR00161**C,18.139999,40.081461,-82.86233,581
19757,MMOTMR04642**C,0.48,39.869141,-84.190254,596
19758,TCLETR02253**C,0.17,39.188408,-84.266595,
19759,SFRAIR00071**C,29.1,40.123478,-82.97304,2649
19760,MLUCMR01027**C,0,41.686648,-83.567649,1100
19761,CLICCR00039**C,2.48,39.967584,-82.626527,19
19762,SLUCIR00475**N,9.91,41.688841,-83.692133,267
19763,TLICTR00527**C,0.21,39.944363,-82.758455,648
19764,SFRASR00315**N,7.32,40.045396,-83.033865,865
19765,SCLARA12028**C,0.2,39.892367,-83.808833,322
19766,TDELTR00109**C,0.55,40.180743,-82.948456,699
19767,SFRAIR00071**C,29.17,40.124561,-82.971546,
19768,MFRAMR00442**C,0.09,39.951371,-82.945752,1971
19769,TCLATR01121**C,0.21,39.890317,-83.804428,521
19770,SFRAIR00070**C,20.700001,39.936308,-82.890643,1224
19771,MHAMMR01810**C,0.95,39.158165,-84.523999,1576
19772,CJACCR00087**C,0.46,39.039167,-82.603695,96
19773,TMOTTR00538**C,1.17,39.832496,-84.292648,131
19774,SLICSR00079**C,6.94,39.98002,-82.488754,
19775,TFRATR00256B*C,0.08,39.898623,-83.053378,643
19776,SFRAIR00270**C,22.209999,40.112566,-83.046608,1552
19777,SAUGUS00033**C,16.629999,40.555466,-84.161889,45
19778,SWARIR00075**C,5.03,39.505848,-84.32383,1018
19779,SFRAIR00071**C,28.77,40.118922,-82.974682,1894
19780,CFRACR00256A*C,1.79,39.897731,-83.05123,802
19781,MLAKMR00389**C,0.39,41.645993,-81.35561,711
19782,CFRACR00061**C,1.84,40.117685,-83.075974,159
19783,TSUMTR02387**C,0.49,41.293434,-81.51295,122
19784,SMEDIR00071**C,26.530001,41.274242,-81.804207,561
19785,CRICCR00203**C,3.03,40.805655,-82.538505,63
19786,TFRATR01594**C,0.43,39.958279,-83.119785,951
